nodenumber,    x-coordinate,    y-coordinate,  axial-velocity, radial-velocity,turb-kinetic-energy,  viscosity-turb,daxial-velocity-dx,dradial-velocity-dx,daxial-velocity-dy,dradial-velocity-dy
      1320, 6.999999954E+00, 2.992992659E+00, 8.074271853E-05,-3.466530929E-03, 4.525266721E-06, 1.665189966E-03, 1.102662998E-04, 5.242312022E-05,-2.812503027E-04, 1.048071740E-03
      1321, 8.999999951E+00, 2.992992703E+00, 4.751006951E-04,-3.321337836E-03, 8.156045936E-06, 4.260821052E-04, 7.030355778E-04, 2.233378840E-04,-2.403513526E-03, 4.066649480E-04
      1322, 1.099999988E+01, 2.992992659E+00, 3.908394964E-03,-2.359340643E-03, 5.161086833E-05, 1.211906639E-03, 2.253778735E-03, 5.821511114E-04,-1.006171093E-02,-1.465522915E-03
      1323, 1.299999997E+01, 2.992992659E+00, 8.400898318E-03,-1.288839024E-03, 9.815065392E-05, 2.038930812E-03, 2.127652597E-03, 4.680903617E-04,-1.251763911E-02,-1.697104558E-03
      1324, 4.999999929E+00, 3.038607963E+00,-2.742596035E-04,-3.614132605E-03, 5.145233867E-06, 2.517310419E-03, 1.972489205E-04, 1.329405635E-04,-2.188821711E-04, 9.922806148E-04
      1325, 6.999999954E+00, 3.038607963E+00, 6.800185318E-05,-3.419533328E-03, 4.440849358E-06, 1.780744847E-03, 1.124402716E-04, 5.403891630E-05,-2.774153706E-04, 1.013041883E-03
      1326, 8.999999951E+00, 3.038608008E+00, 3.810404366E-04,-3.298906168E-03, 6.698349795E-06, 4.233822490E-04, 5.125701359E-04, 1.665132784E-04,-1.731911073E-03, 5.730010898E-04
      1327, 1.099999988E+01, 3.038607963E+00, 3.465172855E-03,-2.423662365E-03, 4.561419670E-05, 1.131057396E-03, 2.153837255E-03, 5.649479055E-04,-9.381163093E-03,-1.356240541E-03
      1328, 1.299999997E+01, 3.038607963E+00, 7.841380384E-03,-1.365188567E-03, 9.131765210E-05, 1.963644344E-03, 2.100311597E-03, 4.692250351E-04,-1.202152124E-02,-1.651098741E-03
      1329, 4.999999929E+00, 3.084883491E+00,-2.838948639E-04,-3.568773100E-03, 4.981087382E-06, 2.459412994E-03, 1.885090840E-04, 1.292954678E-04,-1.978504141E-04, 9.684718771E-04
      1330, 6.999999954E+00, 3.084883491E+00, 5.524489498E-05,-3.373455878E-03, 4.359364957E-06, 1.895674974E-03, 1.147728968E-04, 5.577227095E-05,-2.739745791E-04, 9.788900245E-04
      1331, 8.999999951E+00, 3.084883537E+00, 3.130176136E-04,-3.269460549E-03, 5.642734902E-06, 4.384055757E-04, 3.633287020E-04, 1.214285728E-04,-1.217484314E-03, 6.965493517E-04
      1332, 1.099999988E+01, 3.084883491E+00, 3.047038771E-03,-2.483732690E-03, 4.000046055E-05, 1.050767206E-03, 2.046731719E-03, 5.451670244E-04,-8.700178312E-03,-1.241620717E-03
      1333, 1.299999997E+01, 3.084883491E+00, 7.296725425E-03,-1.440446392E-03, 8.468880376E-05, 1.887443508E-03, 2.069075338E-03, 4.693971511E-04,-1.152526935E-02,-1.602202961E-03
      1334, 4.999999929E+00, 3.131828798E+00,-2.927029480E-04,-3.523854245E-03, 4.817032487E-06, 2.400955137E-03, 1.797696080E-04, 1.255103122E-04,-1.776912002E-04, 9.455236629E-04
      1335, 6.999999954E+00, 3.131828798E+00, 4.246145760E-05,-3.328292222E-03, 4.279990462E-06, 2.009269375E-03, 1.171642330E-04, 5.758393561E-05,-2.706778972E-04, 9.456849767E-04
      1336, 8.999999951E+00, 3.131828845E+00, 2.646190782E-04,-3.234820476E-03, 4.895621093E-06, 4.711444145E-04, 2.551951898E-04, 8.814730209E-05,-8.512104421E-04, 7.777240519E-04
      1337, 1.099999988E+01, 3.131828798E+00, 2.654852332E-03,-2.539155700E-03, 3.477629635E-05, 9.713851345E-04, 1.932038755E-03, 5.225906602E-04,-8.017911530E-03,-1.121291906E-03
      1338, 1.299999997E+01, 3.131828798E+00, 6.767480185E-03,-1.514428928E-03, 7.827264073E-05, 1.810391675E-03, 2.033903593E-03, 4.685543930E-04,-1.102917818E-02,-1.550404767E-03
      1339, 4.999999929E+00, 3.179453579E+00,-3.007022602E-04,-3.479360330E-03, 4.653409858E-06, 2.342729350E-03, 1.711283273E-04, 1.216455407E-04,-1.585206689E-04, 9.233117306E-04
      1340, 6.999999954E+00, 3.179453579E+00, 2.965126419E-05,-3.284032098E-03, 4.202107614E-06, 2.120686394E-03, 1.195296486E-04, 5.943830870E-05,-2.673304962E-04, 9.134796606E-04
      1341, 8.999999951E+00, 3.179453626E+00, 2.300212794E-04,-3.196675969E-03, 4.371639656E-06, 5.203811911E-04, 1.819103321E-04, 6.515826215E-05,-6.058466659E-04, 8.235452310E-04
      1342, 1.099999988E+01, 3.179453579E+00, 2.289536838E-03,-2.589502216E-03, 2.994825834E-05, 8.933491462E-04, 1.809275141E-03, 4.969749026E-04,-7.333378079E-03,-9.948283777E-04
      1343, 1.299999997E+01, 3.179453579E+00, 6.254190932E-03,-1.586944836E-03, 7.207725621E-05, 1.732559989E-03, 1.994750169E-03, 4.666423173E-04,-1.053350622E-02,-1.495684459E-03
