      r       	      z       	     U_r      	    U_phi     	     U_z      	   U_r U_r       U_phi U_phi   	   U_z U_z   	   U_r U_phi   	   U_r U_z    	
2.49833040e+00	1.00000000e+00	-9.5155490e-03	-5.4403427e-05	8.69909941e-04	9.17733200e-05	1.78798866e-06	1.01204088e-06	5.07989498e-07	-8.4834139e-06	
2.62412963e+00	1.00000000e+00	-9.1527365e-03	-5.2552157e-05	7.86658418e-04	8.49863246e-05	1.73943439e-06	8.71044677e-07	4.72594833e-07	-7.4233955e-06	
2.75439515e+00	1.00000000e+00	-8.7967633e-03	-5.0874067e-05	7.16929434e-04	7.85894849e-05	1.69507878e-06	7.67128165e-07	4.40421671e-07	-6.5479967e-06	
2.88928554e+00	1.00000000e+00	-8.4452308e-03	-4.9362830e-05	6.58572614e-04	7.25260875e-05	1.65460979e-06	6.91569172e-07	4.11065243e-07	-5.8215484e-06	
3.02896499e+00	1.00000000e+00	-8.0956879e-03	-4.8013405e-05	6.09088873e-04	6.67457814e-05	1.61776447e-06	6.37220811e-07	3.84154413e-07	-5.2094301e-06	
3.17360354e+00	1.00000000e+00	-7.7454448e-03	-4.6820921e-05	5.65287104e-04	6.12017650e-05	1.58430112e-06	5.97787298e-07	3.59344140e-07	-4.6756229e-06	
3.32337723e+00	1.00000000e+00	-7.3919062e-03	-4.5779225e-05	5.22931084e-04	5.58567726e-05	1.55396691e-06	5.67316885e-07	3.36334275e-07	-4.1813804e-06	
3.47846840e+00	1.00000000e+00	-7.0338993e-03	-4.4879883e-05	4.76559684e-04	5.07011579e-05	1.52646428e-06	5.40173158e-07	3.14921305e-07	-3.6863192e-06	
3.63906583e+00	1.00000000e+00	-6.6717138e-03	-4.4109948e-05	4.19279257e-04	4.57486580e-05	1.50142205e-06	5.11550882e-07	2.95033815e-07	-3.1492322e-06	
3.80536501e+00	1.00000000e+00	-6.3088230e-03	-4.3451410e-05	3.43688109e-04	4.10534184e-05	1.47841723e-06	4.79904836e-07	2.76794340e-07	-2.5371372e-06	
